BORO,DBA,COUNTA of DBA
,S & M PIZZA,1
,RYUJIN RAMEN,1
,RUAN NEW STAR,1
,ROTI-R-US,1
,ROAST 28,1
,RICHARD'S CARIBBEAN CAFE,1
,RICEPOT THAICOOKHOUSE,1
,RICE PIE,1
,RANGOON,1
,RAMEN SPOT,1
,R-1 HOT PIZZA,1
,QR SUSHI,1
,PUERTA DEL SOL RESTAURANT,1
,PORTAL LATINO RESTAURANT,1
,POPPY'S CATERING + EVENTS,1
,POPEYES LOUISIANA KITCHEN,1
,POPEYES LOUISANA KITCHEN,1
,PIZZETTE,1
,PIZZA WAGON,1
,PIZZA D'AMORE,1
,PITA PAN,1
,PITA GRILL,1
,PISTACHE NYC,1
,PINE AND GINGER,1
,PHIL'S,1
,PETIT PAULETTE,1
,PEPPINO'S,1
,PEPPA'S JERK CHICKEN,1
,PEARL INDIAN RESTAURANT,1
,PEACHES,1
,PANEANTICO BAKERY,1
,OVER GREENS,1
,OTIS,1
,ONE MORE CHARM,1
,OLEA,1
,NUAN XIN RICE ROLL,1
,NORTH COAST SHARK AND BAKE,1
,NORA THAI,1
,NEW VEGETARIAN PALATE,1
,NEW PANDA BAKERY,1
,NEW ONE LUCKY CHINESE RESTAURANT,1
,New Hardee Kitchen Inc.,1
,NEW GRACE CHINESE RESTAURANT,1
,NEW FU JU LOU,1
,NEW EMERALD FORTUNE BAKERY,1
,NEW CITY ASIAN CUISINE,1
,NEW CHINA,1
,NEPTUNE PIZZA,1
,NATTO HIBACHI & SUSHI,1
,NANCY RESTAURANT,1
,MY THREE SONS DINER,1
,MR. BAO,1
,MOZZARELLA,1
,MOTHERS SEAFOOD & MORE,1
,MORGAN'S BBQ,1
,MOON & FLOWER HOUSE,1
,MONTAGUE BAGELS,1
,MITOUSHI,1
,MIKES DELI,1
,MIKE'S DINER,1
,MCDONALD'S,1
,MBL & Q BURGER,1
,MATHILDE,1
,MASTER'S PIZZERIA,1
,MASALAWALA PS RESTAURANT,1
,MARY'S CAFE,1
,MARRAKECH,1
,Mario's Pizzeria,1
,MARIA'S BISTRO MEXICANO,1
,MAMAN,1
,MAD FOR CHICKEN,1
,LUCKY HOUSE CHINESE KITCHEN,1
,LOS TACOS MCONDO,1
,LOMA RESTAURANT & COFFEE SHOP,1
,LOCANDA MARIELLA,1
,LITTLENECK,1
,LITTLE MO/MO CAFE,1
,LITTLE CUPCAKE BAKESHOP,1
,LINDA'S RESTAURANT BAKERY & LOUNGE,1
,LEO'S PIZZA,1
,LELLO'S PIZZA,1
,LE FATIMA BAR & GRILL,1
,LAGO KACHE,1
,LA FAMILIA RESTAURANT,1
,LA CUESTA,1
,LA CHACRA,1
,KYOTO SUSHI,1
,KUNG FU,1
,KOWLOON CAFE,1
,KOTTI BERLINER DONER KEBAB,1
,KOGANE RAMEN,1
,KNAPP ST PIZZA II,1
,KINGSTON PIZZA,1
,KINGSTON BAKE SHOP,1
,KINGS COUNTY CAFE,1
,KING OF TANDOOR,1
,KFC,1
,KENNEDY FRIED CHICKEN,1
,Keg and Lantern Brewing,1
,KATOU RESTAURANT,1
,KAHACHAPURI FACTORY,1
,JUNGLE CAFE,1
,JUNE,1
,JUICE & TACOS,1
,JOY KITCHEN,1
,JIGGA'S JERK SPOT,1
,JALOPY TAVERN,1
,J&V FAMOUS PIZZA,1
,J AND C RESTAURANT,1
,ISLAND POPS,1
,IN CHA/TASTE OF GUILIN,1
,ICE CREAM HOUSE ON 36,1
,HUNGRY GHOST COFFEE BAR AT FULTON,1
,HUNGRY GHOST,1
,HUNGRY BURRITO,1
,HUANG HE LOU 888,1
,HUA LONG RESTAURANT,1
,HILLS KITCHEN,1
,HIGH GRADE COFFEE,1
,HIGH FIVE,1
,HENRY ST. ALE HOUSE,1
,HEMO'S SPOT JUICE BAR & CAFE,1
,HAPPY GARDEN,1
,HALSEY BAR & GRILL,1
,GYRO EXPRESS,1
,GUANG JI BAKERY,1
,GREAT TASTE HOUSE,1
,GOOD BAR,1
,GOLDEN THAI,1
,GOLDEN LILY BAKERY,1
,GOLDEN KRUST CARIBBEAN BAKERY & GRILL,1
,GOLDEN BLUE BAR & RESTAURANT,1
,GIGI'S BAKERY,1
,GERTIE,1
,FULTON HALAL GRILL,1
,FULKOLE RESTAURANT,1
,FU XING HOUSE,1
